key,date,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
NL_NB_1959,2020-05-21,0,31,,,,,,,
NL_NH,2020-05-21,0,1603,,,,,,,
NL_NH_0358,2020-05-21,0,9,,,,,,,
NL_NH_0361,2020-05-21,0,54,,,,,,,
NL_NH_0362,2020-05-21,0,56,,,,,,,
NL_NH_0363,2020-05-21,0,608,,,,,,,
NL_NH_0370,2020-05-21,0,4,,,,,,,
NL_NH_0373,2020-05-21,0,16,,,,,,,
NL_NH_0375,2020-05-21,0,15,,,,,,,
NL_NH_0376,2020-05-21,0,8,,,,,,,
NL_NH_0377,2020-05-21,0,7,,,,,,,
NL_NH_0383,2020-05-21,0,15,,,,,,,
NL_NH_0384,2020-05-21,0,17,,,,,,,
NL_NH_0385,2020-05-21,0,24,,,,,,,
NL_NH_0388,2020-05-21,0,18,,,,,,,
NL_NH_0392,2020-05-21,0,60,,,,,,,
NL_NH_0394,2020-05-21,0,66,,,,,,,
NL_NH_0396,2020-05-21,0,27,,,,,,,
NL_NH_0397,2020-05-21,0,10,,,,,,,
NL_NH_0398,2020-05-21,0,27,,,,,,,
NL_NH_0399,2020-05-21,0,9,,,,,,,
NL_NH_0400,2020-05-21,0,12,,,,,,,
NL_NH_0402,2020-05-21,0,29,,,,,,,
NL_NH_0405,2020-05-21,0,34,,,,,,,
NL_NH_0406,2020-05-21,0,21,,,,,,,
NL_NH_0415,2020-05-21,0,3,,,,,,,
NL_NH_0416,2020-05-21,0,16,,,,,,,
NL_NH_0417,2020-05-21,0,8,,,,,,,
NL_NH_0420,2020-05-21,0,18,,,,,,,
NL_NH_0431,2020-05-21,0,11,,,,,,,
NL_NH_0432,2020-05-21,0,1,,,,,,,
NL_NH_0437,2020-05-21,0,5,,,,,,,
NL_NH_0439,2020-05-21,0,65,,,,,,,
NL_NH_0441,2020-05-21,0,19,,,,,,,
NL_NH_0448,2020-05-21,0,5,,,,,,,
